,biomass,coal,gas,geothermal,hydro,nuclear,oil,solar,wind,unknown,hydro_storage,production_total,consumption,imported
2019-01-01 00:00:00,5411.0,7913.0,3062.0,3.0,1553.0,8898.0,483.0,0.0,24052.0,484.0,-116.0,51743.0,42255.0,-9488.0
2019-01-01 00:15:00,5405.0,7817.0,2959.0,3.0,1552.0,8687.0,481.0,0.0,24771.0,456.0,-117.0,52014.0,41719.0,-10295.0
2019-01-01 00:30:00,5405.0,7671.0,2937.0,3.0,1556.0,8449.0,480.0,0.0,25338.0,435.0,-115.0,52159.0,41349.0,-10810.0
2019-01-01 00:45:00,5378.0,7734.0,2911.0,3.0,1554.0,8107.0,480.0,0.0,25457.0,428.0,-116.0,51936.0,40924.0,-11012.0
2019-01-01 01:00:00,5364.0,7758.0,2791.0,3.0,1535.0,8047.0,482.0,0.0,25248.0,398.0,-203.0,51423.0,40985.0,-10438.0
2019-01-01 01:15:00,5368.0,7610.0,2700.0,3.0,1507.0,8051.0,484.0,0.0,25252.0,383.0,-146.0,51212.0,40407.0,-10805.0
2019-01-01 01:30:00,5366.0,7470.0,2703.0,3.0,1506.0,7951.0,484.0,0.0,24964.0,383.0,-1.0,50829.0,39688.0,-11141.0
2019-01-01 01:45:00,5368.0,7440.0,2687.0,3.0,1496.0,7767.0,485.0,0.0,25367.0,383.0,-1.0,50995.0,39320.0,-11675.0
2019-01-01 02:00:00,5356.0,7568.0,2655.0,3.0,1519.0,7569.0,483.0,0.0,26251.0,383.0,-1.0,51786.0,39043.0,-12743.0
2019-01-01 02:15:00,5354.0,7678.0,2644.0,3.0,1511.0,7244.0,485.0,0.0,26296.0,383.0,-1.0,51597.0,38938.0,-12659.0
2019-01-01 02:30:00,5362.0,7655.0,2661.0,3.0,1483.0,7064.0,489.0,0.0,26719.0,383.0,-1.0,51818.0,38867.0,-12951.0
2019-01-01 02:45:00,5354.0,7609.0,2653.0,3.0,1466.0,7010.0,491.0,0.0,27006.0,383.0,-1.0,51974.0,38685.0,-13289.0
2019-01-01 03:00:00,5363.0,7482.0,2682.0,3.0,1525.0,7085.0,490.0,0.0,27930.0,381.0,-1.0,52940.0,38761.0,-14179.0
2019-01-01 03:15:00,5347.0,7510.0,2686.0,3.0,1482.0,7154.0,491.0,0.0,28421.0,381.0,-1.0,53474.0,38914.0,-14560.0
2019-01-01 03:30:00,5361.0,7489.0,2729.0,3.0,1433.0,7113.0,491.0,0.0,28765.0,381.0,-1.0,53764.0,38864.0,-14900.0
2019-01-01 03:45:00,5378.0,7468.0,2727.0,3.0,1393.0,7128.0,491.0,0.0,28883.0,381.0,-1.0,53851.0,38683.0,-15168.0
2019-01-01 04:00:00,5363.0,7403.0,2716.0,3.0,1384.0,7124.0,491.0,0.0,29531.0,381.0,-5.0,54391.0,38958.0,-15433.0
2019-01-01 04:15:00,5361.0,7390.0,2703.0,3.0,1377.0,7084.0,491.0,0.0,29657.0,381.0,-5.0,54442.0,38754.0,-15688.0
2019-01-01 04:30:00,5367.0,7391.0,2731.0,3.0,1388.0,7039.0,491.0,0.0,30018.0,381.0,-1.0,54808.0,38593.0,-16215.0
2019-01-01 04:45:00,5353.0,7367.0,2730.0,3.0,1391.0,6996.0,491.0,0.0,30025.0,381.0,-1.0,54736.0,38067.0,-16669.0
2019-01-01 05:00:00,5365.0,7227.0,2731.0,3.0,1413.0,7034.0,492.0,0.0,30630.0,380.0,-0.0,55275.0,37672.0,-17603.0
2019-01-01 05:15:00,5372.0,7229.0,2703.0,3.0,1386.0,7028.0,490.0,0.0,30855.0,380.0,-0.0,55446.0,37951.0,-17495.0
2019-01-01 05:30:00,5370.0,7247.0,2713.0,3.0,1414.0,7030.0,490.0,0.0,31202.0,380.0,-0.0,55849.0,38282.0,-17567.0
2019-01-01 05:45:00,5366.0,7221.0,2710.0,3.0,1452.0,7049.0,490.0,0.0,31379.0,380.0,-0.0,56050.0,38654.0,-17396.0
2019-01-01 06:00:00,5378.0,7193.0,2815.0,3.0,1443.0,7121.0,490.0,0.0,31473.0,380.0,-0.0,56296.0,38652.0,-17644.0
2019-01-01 06:15:00,5373.0,7207.0,2811.0,3.0,1438.0,7160.0,490.0,0.0,31878.0,380.0,-0.0,56740.0,38763.0,-17977.0
2019-01-01 06:30:00,5377.0,7200.0,2830.0,3.0,1422.0,7186.0,490.0,0.0,32213.0,380.0,-0.0,57101.0,38673.0,-18428.0
2019-01-01 06:45:00,5391.0,7282.0,2822.0,3.0,1425.0,7225.0,491.0,0.0,32235.0,380.0,-0.0,57254.0,38880.0,-18374.0
