,biomass,coal,gas,geothermal,hydro,nuclear,oil,solar,wind,unknown,hydro_storage,production_total,consumption,imported
2019-01-01 00:00:00,101.25,95.75,22.75,0.0,0.0,0.0,4.5,0.0,1025.75,0.0,0.0,1250.0,796.5,-453.5
2019-01-01 00:15:00,101.25,95.75,22.75,0.0,0.0,0.0,4.5,0.0,1025.75,0.0,0.0,1250.0,796.5,-453.5
2019-01-01 00:30:00,101.25,95.75,22.75,0.0,0.0,0.0,4.5,0.0,1025.75,0.0,0.0,1250.0,796.5,-453.5
2019-01-01 00:45:00,101.25,95.75,22.75,0.0,0.0,0.0,4.5,0.0,1025.75,0.0,0.0,1250.0,796.5,-453.5
2019-01-01 01:00:00,97.0,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.75,0.0,0.0,1065.25,767.5,-297.75
2019-01-01 01:15:00,97.0,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.75,0.0,0.0,1065.25,767.5,-297.75
2019-01-01 01:30:00,97.0,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.75,0.0,0.0,1065.25,767.5,-297.75
2019-01-01 01:45:00,97.0,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.75,0.0,0.0,1065.25,767.5,-297.75
2019-01-01 02:00:00,98.5,72.75,22.5,0.0,0.0,0.0,4.25,0.0,842.25,0.0,0.0,1040.25,741.5,-298.75
2019-01-01 02:15:00,98.5,72.75,22.5,0.0,0.0,0.0,4.25,0.0,842.25,0.0,0.0,1040.25,741.5,-298.75
2019-01-01 02:30:00,98.5,72.75,22.5,0.0,0.0,0.0,4.25,0.0,842.25,0.0,0.0,1040.25,741.5,-298.75
2019-01-01 02:45:00,98.5,72.75,22.5,0.0,0.0,0.0,4.25,0.0,842.25,0.0,0.0,1040.25,741.5,-298.75
2019-01-01 03:00:00,92.75,73.25,22.5,0.0,0.0,0.0,4.25,0.0,818.25,0.0,0.0,1011.0,733.25,-277.75
2019-01-01 03:15:00,92.75,73.25,22.5,0.0,0.0,0.0,4.25,0.0,818.25,0.0,0.0,1011.0,733.25,-277.75
2019-01-01 03:30:00,92.75,73.25,22.5,0.0,0.0,0.0,4.25,0.0,818.25,0.0,0.0,1011.0,733.25,-277.75
2019-01-01 03:45:00,92.75,73.25,22.5,0.0,0.0,0.0,4.25,0.0,818.25,0.0,0.0,1011.0,733.25,-277.75
2019-01-01 04:00:00,90.75,73.5,23.0,0.0,0.0,0.0,4.75,0.0,798.75,0.0,0.0,990.75,735.25,-255.5
2019-01-01 04:15:00,90.75,73.5,23.0,0.0,0.0,0.0,4.75,0.0,798.75,0.0,0.0,990.75,735.25,-255.5
2019-01-01 04:30:00,90.75,73.5,23.0,0.0,0.0,0.0,4.75,0.0,798.75,0.0,0.0,990.75,735.25,-255.5
2019-01-01 04:45:00,90.75,73.5,23.0,0.0,0.0,0.0,4.75,0.0,798.75,0.0,0.0,990.75,735.25,-255.5
2019-01-01 05:00:00,89.75,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.5,0.0,0.0,1057.75,759.0,-298.75
2019-01-01 05:15:00,89.75,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.5,0.0,0.0,1057.75,759.0,-298.75
2019-01-01 05:30:00,89.75,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.5,0.0,0.0,1057.75,759.0,-298.75
2019-01-01 05:45:00,89.75,73.0,22.25,0.0,0.0,0.0,4.25,0.0,868.5,0.0,0.0,1057.75,759.0,-298.75
2019-01-01 06:00:00,102.75,76.0,22.25,0.0,0.0,0.0,4.25,0.0,870.75,0.0,0.0,1076.0,775.25,-300.75
2019-01-01 06:15:00,102.75,76.0,22.25,0.0,0.0,0.0,4.25,0.0,870.75,0.0,0.0,1076.0,775.25,-300.75
2019-01-01 06:30:00,102.75,76.0,22.25,0.0,0.0,0.0,4.25,0.0,870.75,0.0,0.0,1076.0,775.25,-300.75
2019-01-01 06:45:00,102.75,76.0,22.25,0.0,0.0,0.0,4.25,0.0,870.75,0.0,0.0,1076.0,775.25,-300.75
